Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SZ300276,20150429,104700,19.37,19.37,19.37,19.37,5700,110409,4,0
SZ300276,20150429,104800,19.37,19.37,19.37,19.37,600,11622,3,0
SZ300276,20150429,104900,19.37,19.37,19.37,19.37,3600,69732,4,0
SZ300276,20150429,105000,19.37,19.37,19.37,19.37,700,13559,2,0
SZ300276,20150429,105100,19.37,19.37,19.37,19.37,4700,91039,6,0
SZ300276,20150429,105200,19.37,19.37,19.37,19.37,6400,123968,7,0
SZ300276,20150429,105300,19.37,19.37,19.37,19.37,32020,620227,9,0
SZ300276,20150429,105400,19.37,19.37,19.37,19.37,4400,85228,3,0
SZ300276,20150429,105500,19.37,19.37,19.37,19.37,8500,164645,9,0
SZ300276,20150429,105600,19.37,19.37,19.37,19.37,3000,58110,5,0
SZ300276,20150429,105700,19.37,19.37,19.37,19.37,3000,58110,5,0
SZ300276,20150429,105800,19.37,19.37,19.37,19.37,3300,63921,4,0
SZ300276,20150429,105900,19.37,19.37,19.37,19.37,2900,56173,3,0
SZ300276,20150429,110000,19.37,19.37,19.37,19.37,9200,178204,6,0
SZ300276,20150429,110100,19.37,19.37,19.37,19.37,3700,71669,4,0
SZ300276,20150429,110200,19.37,19.37,19.37,19.37,3000,58110,4,0
SZ300276,20150429,110300,19.37,19.37,19.37,19.37,6300,122031,2,0
SZ300276,20150429,110400,19.37,19.37,19.37,19.37,5200,100724,5,0
SZ300276,20150429,110500,19.37,19.37,19.37,19.37,12100,234377,3,0
SZ300276,20150429,110600,19.37,19.37,19.37,19.37,1500,29055,3,0
SZ300276,20150429,110700,19.37,19.37,19.37,19.37,3500,67795,4,0
SZ300276,20150429,110800,19.37,19.37,19.37,19.37,9400,182078,5,0
SZ300276,20150429,110900,19.37,19.37,19.37,19.37,3300,63921,1,0
SZ300276,20150429,111000,19.37,19.37,19.37,19.37,4000,77480,4,0
SZ300276,20150429,111100,19.37,19.37,19.37,19.37,300,5811,1,0
SZ300276,20150429,111200,19.37,19.37,19.37,19.37,1500,29055,1,0
SZ300276,20150429,111300,19.37,19.37,19.37,19.37,2600,50362,3,0
