Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SH600018,20140905,102900,5.3,5.3,5.3,5.3,602935,3195556,162,0
SH600018,20140905,103000,5.3,5.3,5.3,5.3,1113260,5900278,151,0
SH600018,20140905,103100,5.3,5.3,5.3,5.3,618089,3275872,154,0
SH600018,20140905,103200,5.3,5.3,5.3,5.3,892820,4731946,172,0
SH600018,20140905,103300,5.3,5.3,5.3,5.3,814299,4315784,142,0
SH600018,20140905,103400,5.3,5.3,5.3,5.3,641405,3399447,124,0
SH600018,20140905,103500,5.3,5.3,5.3,5.3,296628,1572128,97,0
SH600018,20140905,103600,5.3,5.3,5.3,5.3,317801,1684345,107,0
SH600018,20140905,103700,5.3,5.3,5.3,5.3,380300,2015590,99,0
SH600018,20140905,103800,5.3,5.3,5.3,5.3,288801,1530646,92,0
SH600018,20140905,103900,5.3,5.3,5.3,5.3,1741713,9231079,109,0
SH600018,20140905,104000,5.3,5.3,5.3,5.3,4270745,22634948,365,0
SH600018,20140905,104100,5.3,5.3,5.3,5.3,2450049,12985260,377,0
SH600018,20140905,104200,5.3,5.3,5.3,5.3,1033543,5477778,227,0
SH600018,20140905,104300,5.3,5.3,5.3,5.3,2567600,13608280,240,0
SH600018,20140905,104400,5.3,5.3,5.3,5.3,1240084,6572445,216,0
SH600018,20140905,104500,5.3,5.3,5.3,5.3,1177090,6238577,192,0
SH600018,20140905,104600,5.3,5.3,5.3,5.3,732915,3884449,173,0
SH600018,20140905,104700,5.3,5.3,5.3,5.3,1194730,6332069,174,0
SH600018,20140905,104800,5.3,5.3,5.3,5.3,601482,3187855,168,0
SH600018,20140905,104900,5.3,5.3,5.3,5.3,603411,3198078,168,0
SH600018,20140905,105000,5.3,5.3,5.3,5.3,755114,4002105,190,0
SH600018,20140905,105100,5.3,5.3,5.3,5.3,401650,2128745,125,0
SH600018,20140905,105200,5.3,5.3,5.3,5.3,429673,2277266,121,0
SH600018,20140905,105300,5.3,5.3,5.3,5.3,388943,2061398,133,0
SH600018,20140905,105400,5.3,5.3,5.3,5.3,362031,1918765,111,0
SH600018,20140905,105500,5.3,5.3,5.3,5.3,375663,1991014,125,0
SH600018,20140905,105600,5.3,5.3,5.3,5.3,727906,3857901,74,0
SH600018,20140905,105700,5.3,5.3,5.3,5.3,214200,1135260,75,0
SH600018,20140905,105800,5.3,5.3,5.3,5.3,240113,1272599,69,0
SH600018,20140905,105900,5.3,5.3,5.3,5.3,345813,1832809,76,0
SH600018,20140905,110000,5.3,5.3,5.3,5.3,224850,1191705,48,0
SH600018,20140905,110100,5.3,5.3,5.3,5.3,263263,1395294,92,0
SH600018,20140905,110200,5.3,5.3,5.3,5.3,279920,1483576,78,0
SH600018,20140905,110300,5.3,5.3,5.3,5.3,362863,1923174,112,0
SH600018,20140905,110400,5.3,5.3,5.3,5.3,290762,1541039,65,0
SH600018,20140905,110500,5.3,5.3,5.3,5.3,253463,1343353,101,0
SH600018,20140905,110600,5.3,5.3,5.3,5.3,130620,692286,73,0
SH600018,20140905,110700,5.3,5.3,5.3,5.3,279173,1479617,77,0
SH600018,20140905,110800,5.3,5.3,5.3,5.3,175100,928030,46,0
SH600018,20140905,110900,5.3,5.3,5.3,5.3,299363,1586624,59,0
SH600018,20140905,111000,5.3,5.3,5.3,5.3,183163,970764,53,0
SH600018,20140905,111100,5.3,5.3,5.3,5.3,96401,510925,44,0
SH600018,20140905,111200,5.3,5.3,5.3,5.3,175463,929954,47,0
SH600018,20140905,111300,5.3,5.3,5.3,5.3,144763,767244,43,0
SH600018,20140905,111400,5.3,5.3,5.3,5.3,103800,550140,54,0
SH600018,20140905,111500,5.3,5.3,5.3,5.3,119163,631564,44,0
SH600018,20140905,111600,5.3,5.3,5.3,5.3,240113,1272599,44,0
SH600018,20140905,111700,5.3,5.3,5.3,5.3,191201,1013365,48,0
SH600018,20140905,111800,5.3,5.3,5.3,5.3,559143,2963458,48,0
SH600018,20140905,111900,5.3,5.3,5.3,5.3,792880,4202264,83,0
SH600018,20140905,112000,5.3,5.3,5.3,5.3,314222,1665377,79,0
SH600018,20140905,112100,5.3,5.3,5.3,5.3,1494617,7921470,93,0
SH600018,20140905,112200,5.3,5.3,5.3,5.3,3154668,16719740,469,0
SH600018,20140905,112300,5.29,5.3,5.3,5.29,11526833,61090256,1525,0
SH600018,20140905,112400,5.29,5.28,5.3,5.26,3819280,20207421,746,0
SH600018,20140905,112500,5.29,5.3,5.3,5.29,4157717,22011118,948,0
SH600018,20140905,112600,5.29,5.29,5.3,5.29,3971465,21027188,908,0
SH600018,20140905,112700,5.29,5.29,5.29,5.28,3018917,15952706,508,0
SH600018,20140905,112800,5.25,5.29,5.29,5.25,1864283,9834513,534,0
SH600018,20140905,112900,5.23,5.25,5.25,5.23,2091300,10961546,580,0
SH600018,20140905,130000,5.27,5.23,5.27,5.22,6905126,36161090,2512,0
SH600018,20140905,130100,5.28,5.27,5.29,5.26,3234888,17088215,679,0
SH600018,20140905,130200,5.29,5.29,5.3,5.28,2455646,12985813,657,0
